CountryCode;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;C8_International travel controls
CUB;2021-03-11;3;3;2;4;2;2;2;2
CUB;2021-03-12;3;3;2;4;2;2;2;2
CUB;2021-03-13;3;3;2;4;2;2;2;2
CUB;2021-03-14;3;3;2;4;2;2;2;2
CUB;2021-03-15;3;3;2;4;2;2;2;2
CUB;2021-03-16;3;3;2;4;2;2;2;2
CUB;2021-03-17;3;3;2;4;2;2;2;2
CUB;2021-03-18;3;3;2;4;2;2;2;2
CUB;2021-03-19;3;3;2;4;2;2;2;2
CUB;2021-03-20;3;3;2;4;2;2;2;2
CUB;2021-03-21;3;3;2;4;2;2;2;2
CUB;2021-03-22;3;3;2;4;2;2;2;2
CUB;2021-03-23;3;3;2;4;2;2;2;2
CUB;2021-03-24;3;3;2;4;2;2;2;2
CUB;2021-03-25;3;3;2;4;2;2;2;2
CUB;2021-03-26;3;3;2;4;2;2;2;2
CUB;2021-03-27;3;3;2;4;2;2;2;2
CUB;2021-03-28;3;3;2;4;2;2;2;2
CUB;2021-03-29;3;3;2;4;2;2;2;2
CUB;2021-03-30;3;3;2;4;2;2;2;2
CUB;2021-03-31;3;3;2;4;2;2;2;2
CUB;2021-04-01;3;3;2;4;2;2;2;2
CUB;2021-04-02;3;3;2;4;2;2;2;2
CUB;2021-04-03;3;3;2;4;2;2;2;2
CUB;2021-04-04;3;3;2;4;2;2;2;2
CUB;2021-04-05;3;3;2;4;2;2;2;2
CUB;2021-04-06;3;3;2;4;2;2;2;2
CUB;2021-04-07;3;3;2;4;2;2;2;2
CUB;2021-04-08;3;3;2;4;2;2;2;2
CUB;2021-04-09;3;3;2;4;2;2;2;2
CUB;2021-04-10;3;3;2;4;2;2;2;2
CUB;2021-04-11;3;3;2;4;2;2;2;2
CUB;2021-04-12;3;3;2;4;2;2;2;2
CUB;2021-04-13;3;3;2;4;2;2;2;2
CUB;2021-04-14;3;3;2;4;2;2;2;2
CUB;2021-04-15;3;3;2;4;2;2;2;2
CUB;2021-04-16;3;3;2;4;2;2;2;2
CUB;2021-04-17;3;3;2;4;2;2;2;2
CUB;2021-04-18;3;3;2;4;2;2;2;2
CUB;2021-04-19;3;3;2;4;2;2;2;2
CUB;2021-04-20;3;3;2;4;2;2;2;2
CUB;2021-04-21;3;3;2;4;2;2;2;2
CUB;2021-04-22;3;3;2;4;2;2;2;2
CUB;2021-04-23;3;3;2;4;2;2;2;2
CUB;2021-04-24;3;3;2;4;2;2;2;2
CUB;2021-04-25;3;3;2;4;2;2;2;2
CUB;2021-04-26;3;3;2;4;2;2;2;2
CUB;2021-04-27;3;3;2;4;2;2;2;2
CUB;2021-04-28;3;3;2;4;2;2;2;2
CUB;2021-04-29;3;3;2;4;2;2;2;2
CUB;2021-04-30;3;3;2;4;2;2;2;2
CUB;2021-05-01;3;3;2;4;2;2;2;2
CUB;2021-05-02;3;3;2;4;2;2;2;2
CUB;2021-05-03;3;3;2;4;2;2;2;2
CUB;2021-05-04;3;3;2;4;2;2;2;2
CUB;2021-05-05;3;3;2;4;2;2;2;2
CUB;2021-05-06;3;3;2;4;2;2;2;2
CUB;2021-05-07;3;3;2;4;2;2;2;2
CUB;2021-05-08;3;3;2;4;2;2;2;2
CUB;2021-05-09;3;3;2;4;2;2;2;2
CUB;2021-05-10;3;3;2;4;2;2;2;2
CUB;2021-05-11;;;;;;;;
CYP;2020-02-24;0;0;0;0;0;0;0;0
CYP;2020-02-25;0;0;0;0;0;0;0;0
CYP;2020-02-26;0;0;0;0;0;0;0;0
CYP;2020-02-27;0;0;0;0;0;0;0;0
CYP;2020-02-28;0;0;0;0;0;0;0;0
CYP;2020-02-29;0;0;0;0;0;0;0;0
CYP;2020-03-01;0;0;0;0;0;0;0;0
